ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
14030378,JJ491261,2025-11-15 23:00:00,006XX N DEARBORN ST,0460,BATTERY,SIMPLE,RESTAURANT,False,False,1832,18,42.0,8.0,08B,1175825.0,1904582.0,2025,11/23/2025 03:42:58 PM,41.893541578,-87.629701805,"(41.893541578, -87.629701805)"
14030427,JJ491212,2025-11-15 23:00:00,026XX W HURON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1221,12,36.0,24.0,07,1158552.0,1904561.0,2025,11/23/2025 03:42:58 PM,41.893855135,-87.693139983,"(41.893855135, -87.693139983)"
14030223,JJ490897,2025-11-15 23:00:00,040XX W WEST END AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1114,11,28.0,26.0,08B,1149593.0,1900670.0,2025,11/23/2025 03:42:58 PM,41.883356534,-87.726144758,"(41.883356534, -87.726144758)"
14030083,JJ490890,2025-11-15 22:54:00,051XX W BLOOMINGDALE AVE,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,True,True,2533,25,37.0,25.0,04B,1141877.0,1911484.0,2025,11/23/2025 03:42:58 PM,41.913177726,-87.754210718,"(41.913177726, -87.754210718)"
14030104,JJ490911,2025-11-15 22:49:00,048XX W HENDERSON ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,1634,16,31.0,15.0,26,1143465.0,1921833.0,2025,11/23/2025 03:42:58 PM,41.941546843,-87.748117196,"(41.941546843, -87.748117196)"
14030070,JJ490877,2025-11-15 22:45:00,009XX W 116TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,524,5,21.0,53.0,08A,1171942.0,1827824.0,2025,11/23/2025 03:42:58 PM,41.682995567,-87.646215535,"(41.682995567, -87.646215535)"
14030085,JJ490876,2025-11-15 22:43:00,021XX N LONG AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SCHOOL - PUBLIC GROUNDS,False,False,2515,25,36.0,19.0,04A,1140035.0,1913783.0,2025,11/23/2025 03:42:58 PM,41.919520368,-87.760921537,"(41.919520368, -87.760921537)"
14030065,JJ490870,2025-11-15 22:40:00,005XX N LAWNDALE AVE,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,ALLEY,True,False,1122,11,27.0,23.0,18,1151626.0,1903280.0,2025,11/23/2025 03:42:58 PM,41.890478932,-87.718610734,"(41.890478932, -87.718610734)"
14030910,JJ491435,2025-11-15 22:38:00,050XX S CORNELL AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CONVENIENCE STORE,False,False,222,2,5.0,39.0,11,1187887.0,1871709.0,2025,11/23/2025 03:42:58 PM,41.803056534,-87.586453094,"(41.803056534, -87.586453094)"
14030069,JJ490887,2025-11-15 22:35:00,003XX N UNION AVE,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,True,False,1214,12,34.0,28.0,18,1171480.0,1902260.0,2025,11/23/2025 03:42:58 PM,41.887266533,-87.645727674,"(41.887266533, -87.645727674)"
14030078,JJ490880,2025-11-15 22:33:00,031XX W DOUGLAS BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1022,10,24.0,29.0,08B,1155821.0,1893293.0,2025,11/23/2025 03:42:58 PM,41.86299009,-87.703473782,"(41.86299009, -87.703473782)"
14030071,JJ490885,2025-11-15 22:32:00,120XX S WALLACE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,ALLEY,False,False,523,5,21.0,53.0,18,1174481.0,1824969.0,2025,11/23/2025 03:42:58 PM,41.675105049,-87.637005681,"(41.675105049, -87.637005681)"
14031901,JJ492422,2025-11-15 22:30:00,022XX N RACINE AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False,1811,18,2.0,7.0,06,1167941.0,1915006.0,2025,11/23/2025 03:42:58 PM,41.922319445,-87.658355537,"(41.922319445, -87.658355537)"
14030335,JJ491199,2025-11-15 22:30:00,090XX S OGLESBY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,413,4,7.0,48.0,07,1193413.0,1845452.0,2025,11/23/2025 03:42:58 PM,41.730871832,-87.567044991,"(41.730871832, -87.567044991)"
14030115,JJ490888,2025-11-15 22:28:00,008XX E 79TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,ALLEY,False,False,624,6,8.0,44.0,04B,1183065.0,1852804.0,2025,11/23/2025 03:42:58 PM,41.751293082,-87.604724801,"(41.751293082, -87.604724801)"
14030174,JJ490938,2025-11-15 22:26:00,021XX W 22ND PL,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,False,False,1034,10,25.0,31.0,17,1162464.0,1889052.0,2025,11/23/2025 03:42:58 PM,41.851216044,-87.679206572,"(41.851216044, -87.679206572)"
14030091,JJ490972,2025-11-15 22:20:00,050XX N PULASKI RD,0460,BATTERY,SIMPLE,RESTAURANT,False,False,1712,17,39.0,13.0,08B,1148819.0,1933128.0,2025,11/23/2025 03:42:58 PM,41.972439191,-87.728145716,"(41.972439191, -87.728145716)"
14031925,JJ492118,2025-11-15 22:15:00,023XX W WABANSIA AVE,0890,THEFT,FROM BUILDING,OTHER (SPECIFY),False,False,1434,14,32.0,24.0,06,1160291.0,1911398.0,2025,11/23/2025 03:42:58 PM,41.912580624,-87.686563889,"(41.912580624, -87.686563889)"
14030055,JJ490863,2025-11-15 22:14:00,075XX S EGGLESTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,621,6,6.0,69.0,08B,1174597.0,1855013.0,2025,11/23/2025 03:42:58 PM,41.75754744,-87.635690051,"(41.75754744, -87.635690051)"
14030142,JJ490881,2025-11-15 22:11:00,048XX S CICERO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,815,8,22.0,56.0,14,1145174.0,1872094.0,2025,11/23/2025 03:42:58 PM,41.805024727,-87.743092959,"(41.805024727, -87.743092959)"
14030075,JJ490859,2025-11-15 22:06:00,025XX W LITHUANIAN PLAZA CT,0554,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",SIDEWALK,True,False,832,8,16.0,66.0,08A,1160815.0,1858821.0,2025,11/23/2025 03:42:58 PM,41.768292746,-87.686094404,"(41.768292746, -87.686094404)"
